City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Tsaratanana,MG,2021-12-22 11:04:21,-16.7833,47.65,95.27,35,62,10.31
271,Bambous Virieux,MU,2021-12-22 11:04:21,-20.3428,57.7575,82.22,74,75,18.41
272,Souillac,MU,2021-12-22 11:04:22,-20.5167,57.5167,82.36,74,75,18.41
273,Blacksburg,US,2021-12-22 11:04:20,37.2296,-80.4139,41.16,81,90,8.05
274,Turayf,SA,2021-12-22 11:04:22,31.6725,38.6637,53.89,55,24,14.09
275,Nabire,ID,2021-12-22 11:04:22,-3.3667,135.4833,77.11,91,100,3.65
276,Bartoszyce,PL,2021-12-22 10:59:58,54.2535,20.8082,24.4,70,60,3.36
277,Yerbogachen,RU,2021-12-22 11:04:23,61.2767,108.0108,-37.8,100,32,2.39
278,Vandalur,IN,2021-12-22 11:04:24,12.8928,80.0808,82.18,54,40,9.22
279,Anshun,CN,2021-12-22 11:04:24,26.25,105.9333,51.37,73,51,6.06
280,Arraial Do Cabo,BR,2021-12-22 11:04:25,-22.9661,-42.0278,78.66,78,0,11.5
281,Hay River,CA,2021-12-22 11:04:25,60.8156,-115.7999,-14.84,84,75,8.05
282,Beloha,MG,2021-12-22 11:04:25,-25.1667,45.05,87.04,51,100,19.22
283,Manggar,ID,2021-12-22 11:04:25,-2.8833,108.2667,81.37,75,99,1.92
284,Kulhudhuffushi,MV,2021-12-22 11:04:26,6.6221,73.07,81.48,73,28,10.38
285,Mitchell,US,2021-12-22 11:03:26,43.7094,-98.0298,25.74,80,75,3.0
286,Poum,NC,2021-12-22 11:04:26,-20.2333,164.0167,80.19,76,9,6.24
287,Punta Gorda,US,2021-12-22 11:02:49,26.9298,-82.0454,62.98,87,1,3.0
288,Bolshaya Sosnova,RU,2021-12-22 11:04:27,57.6713,54.6029,-3.14,96,25,7.09
289,Deputatskiy,RU,2021-12-22 11:04:27,69.3,139.9,-17.82,96,100,3.96
290,Una,IN,2021-12-22 11:04:27,20.8167,71.0333,77.83,32,41,9.24
291,Laguna,US,2021-12-22 11:04:27,38.421,-121.4238,47.64,96,90,1.01
292,Maputo,MZ,2021-12-22 11:04:28,-25.9653,32.5892,88.23,61,90,11.99
293,Mahebourg,MU,2021-12-22 11:04:28,-20.4081,57.7,82.26,74,75,18.41
