City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,La Rioja,ES,42.25,-2.5,42.04,87,99,7.05,overcast clouds
298,Sooke,CA,48.3746,-123.7276,41.58,90,100,11.68,overcast clouds
299,Cherskiy,RU,68.75,161.3,-22.83,98,100,4.94,overcast clouds
300,Guaruja,BR,-23.9931,-46.2564,75.88,26,76,1.01,broken clouds
301,Santa Rosa,PH,14.3122,121.1114,82.09,76,39,9.37,scattered clouds
302,Nome,US,64.5011,-165.4064,17.17,86,90,24.16,snow
303,Crawfordsville,US,40.0411,-86.8745,61.02,67,90,16.11,overcast clouds
304,Gombong,ID,-7.6072,109.5142,81.1,84,85,2.35,overcast clouds
305,Aklavik,CA,68.2191,-135.0107,-8.68,95,100,4.0,overcast clouds
306,Awjilah,LY,29.1081,21.2869,54.32,70,4,4.65,clear sky
307,Fort Nelson,CA,58.8053,-122.7002,-22.02,100,68,1.81,broken clouds
308,Olafsvik,IS,64.8945,-23.7142,35.49,74,93,9.15,overcast clouds
309,Yerbogachen,RU,61.2767,108.0108,-7.11,82,92,8.32,overcast clouds
310,Paamiut,GL,61.994,-49.6678,25.63,67,98,7.78,overcast clouds
311,Fairbanks,US,64.8378,-147.7164,-13.04,74,1,0.0,clear sky
312,Hanmer Springs,NZ,-42.5167,172.8167,63.82,54,100,2.64,light rain
313,San Vicente,AR,-26.6167,-54.1333,74.39,44,32,1.45,scattered clouds
314,Pevek,RU,69.7008,170.3133,-23.69,100,95,1.34,overcast clouds
315,Varca,IN,15.2167,73.9167,70.68,88,2,3.44,clear sky
316,Puerto Madryn,AR,-42.7692,-65.0385,65.44,57,0,12.08,clear sky
317,Olinda,BR,-8.0089,-34.8553,80.4,77,83,13.8,broken clouds
318,Hailar,CN,49.2,119.7,-24.97,92,46,4.54,scattered clouds
319,Skibbereen,IE,51.55,-9.2667,50.29,96,100,12.93,overcast clouds
320,Karsun,RU,54.1994,46.9827,4.68,82,6,14.12,clear sky
321,Leningradskiy,RU,69.3833,178.4167,-21.71,99,93,4.23,overcast clouds
322,Bantou,CN,26.2151,117.4893,56.37,82,100,3.47,overcast clouds
323,Kurilsk,RU,45.2333,147.8833,26.67,54,88,14.94,overcast clouds
324,Winnemucca,US,40.973,-117.7357,41.05,52,40,18.41,scattered clouds
